Species	Group	TaxID	Source
ASG001	Asgard		unresolved
ASG003	Asgard		unresolved
ASG004	Asgard		unresolved
ASG005	Asgard		unresolved
ASG006	Asgard		unresolved
ASG007	Asgard		unresolved
ASG008	Asgard		unresolved
ASG009	Asgard		unresolved
ASG010	Asgard		unresolved
ASG011	Asgard		unresolved
ASG012	Asgard		unresolved
ASG013	Asgard		unresolved
ASG014	Asgard		unresolved
ASG030	Asgard		unresolved
ASG031	Asgard		unresolved
ASG032	Asgard		unresolved
ASG033	Asgard		unresolved
ASG034	Asgard		unresolved
ASG035	Asgard		unresolved
ASG036	Asgard		unresolved
ASG037	Asgard		unresolved
ASG042	Asgard		unresolved
ASG043	Asgard		unresolved
ASG044	Asgard		unresolved
ASG045	Asgard		unresolved
ASG046	Asgard		unresolved
ASG047	Asgard		unresolved
ASG048	Asgard		unresolved
ASG049	Asgard		unresolved
ASG050	Asgard		unresolved
ASG051	Asgard		unresolved
ASG052	Asgard		unresolved
ASG053	Asgard		unresolved
ASG054	Asgard		unresolved
ASG055	Asgard		unresolved
ASG056	Asgard		unresolved
ASG057	Asgard		unresolved
ASG058	Asgard		unresolved
ASG059	Asgard		unresolved
ASG060	Asgard		unresolved
ASG061	Asgard		unresolved
ASG062	Asgard		unresolved
ASG063	Asgard		unresolved
ASG064	Asgard		unresolved
ASG065	Asgard		unresolved
ASG066	Asgard		unresolved
ASG067	Asgard		unresolved
ASG068	Asgard		unresolved
ASG069	Asgard		unresolved
ASG070	Asgard		unresolved
ASG071	Asgard		unresolved
ASG072	Asgard		unresolved
ASG073	Asgard		unresolved
ASG074	Asgard		unresolved
ASG075	Asgard		unresolved
ASG076	Asgard		unresolved
ASG077	Asgard		unresolved
ASG078	Asgard		unresolved
ASG079	Asgard		unresolved
ASG080	Asgard		unresolved
ASG081	Asgard		unresolved
ASG082	Asgard		unresolved
ASG083	Asgard		unresolved
ASG084	Asgard		unresolved
ASG085	Asgard		unresolved
ASG086	Asgard		unresolved
ASG087	Asgard		unresolved
ASG088	Asgard		unresolved
ASG089	Asgard		unresolved
ASG090	Asgard		unresolved
ASG091	Asgard		unresolved
ASG092	Asgard		unresolved
ASG093	Asgard		unresolved
ASG094	Asgard		unresolved
ASG095	Asgard		unresolved
ASG096	Asgard		unresolved
ASG097	Asgard		unresolved
ASG098	Asgard		unresolved
ASG099	Asgard		unresolved
ASG100	Asgard		unresolved
ASG101	Asgard		unresolved
ASG102	Asgard		unresolved
ASG103	Asgard		unresolved
ASG104	Asgard		unresolved
ASG105	Asgard		unresolved
ASG106	Asgard		unresolved
ASG107	Asgard		unresolved
ASG108	Asgard		unresolved
ASG109	Asgard		unresolved
ASG110	Asgard		unresolved
ASG111	Asgard		unresolved
ASG112	Asgard		unresolved
ASG113	Asgard		unresolved
ASG114	Asgard		unresolved
ASG115	Asgard		unresolved
ASG116	Asgard		unresolved
ASG117	Asgard		unresolved
ASG118	Asgard		unresolved
ASG119	Asgard		unresolved
ASG120	Asgard		unresolved
ASG121	Asgard		unresolved
ASG122	Asgard		unresolved
ASG123	Asgard		unresolved
ASG124	Asgard		unresolved
ASG125	Asgard		unresolved
ASG126	Asgard		unresolved
ASG127	Asgard		unresolved
ASG128	Asgard		unresolved
ASG129	Asgard		unresolved
ASG130	Asgard		unresolved
ASG131	Asgard		unresolved
ASG132	Asgard		unresolved
ASG133	Asgard		unresolved
ASG134	Asgard		unresolved
ASG135	Asgard		unresolved
ASG136	Asgard		unresolved
ASG137	Asgard		unresolved
ASG138	Asgard		unresolved
ASG139	Asgard		unresolved
ASG140	Asgard		unresolved
ASG141	Asgard		unresolved
ASG142	Asgard		unresolved
ASG143	Asgard		unresolved
ASG144	Asgard		unresolved
ASG145	Asgard		unresolved
ASG146	Asgard		unresolved
ASG147	Asgard		unresolved
ASG148	Asgard		unresolved
ASG149	Asgard		unresolved
ASG150	Asgard		unresolved
ASG151	Asgard		unresolved
ASG152	Asgard		unresolved
ASG153	Asgard		unresolved
ASG154	Asgard		unresolved
ASG155	Asgard		unresolved
ASG156	Asgard		unresolved
ASG157	Asgard		unresolved
ASG158	Asgard		unresolved
ASG159	Asgard		unresolved
ASG160	Asgard		unresolved
ASG161	Asgard		unresolved
ASG162	Asgard		unresolved
ASG163	Asgard		unresolved
ASG164	Asgard		unresolved
ASG165	Asgard		unresolved
ASG166	Asgard		unresolved
ASG167	Asgard		unresolved
ASG168	Asgard		unresolved
ASG169	Asgard		unresolved
ASG170	Asgard		unresolved
ASG171	Asgard		unresolved
ASG172	Asgard		unresolved
ASG173	Asgard		unresolved
ASG174	Asgard		unresolved
ASG175	Asgard		unresolved
ASG176	Asgard		unresolved
ASG177	Asgard		unresolved
ASG178	Asgard		unresolved
ASG179	Asgard		unresolved
ASG180	Asgard		unresolved
ASG181	Asgard		unresolved
ASG182	Asgard		unresolved
ASG183	Asgard		unresolved
ASG184	Asgard		unresolved
ASG185	Asgard		unresolved
ASG186	Asgard		unresolved
ASG187	Asgard		unresolved
ASG188	Asgard		unresolved
ASG189	Asgard		unresolved
ASG190	Asgard		unresolved
ASG191	Asgard		unresolved
ASG192	Asgard		unresolved
ASG193	Asgard		unresolved
ASG194	Asgard		unresolved
ASG195	Asgard		unresolved
ASG196	Asgard		unresolved
ASG197	Asgard		unresolved
ASG198	Asgard		unresolved
ASG199	Asgard		unresolved
ASG200	Asgard		unresolved
ASG201	Asgard		unresolved
ASG202	Asgard		unresolved
ASG203	Asgard		unresolved
ASG204	Asgard		unresolved
ASG205	Asgard		unresolved
ASG206	Asgard		unresolved
ASG207	Asgard		unresolved
ASG208	Asgard		unresolved
ASG209	Asgard		unresolved
ASG210	Asgard		unresolved
ASG232	Asgard		unresolved
ASG233	Asgard		unresolved
ASG235	Asgard		unresolved
ASG237	Asgard		unresolved
ASG242	Asgard		unresolved
ASG243	Asgard		unresolved
ASG244	Asgard		unresolved
ASG245	Asgard		unresolved
ASG246	Asgard		unresolved
ASG247	Asgard		unresolved
ASG249	Asgard		unresolved
ASG250	Asgard		unresolved
ASG251	Asgard		unresolved
ASG252	Asgard		unresolved
ASG253	Asgard		unresolved
ASG254	Asgard		unresolved
ASG255	Asgard		unresolved
ASG256	Asgard		unresolved
ASG257	Asgard		unresolved
ASG258	Asgard		unresolved
ASG259	Asgard		unresolved
ASG260	Asgard		unresolved
ASG261	Asgard		unresolved
ASG262	Asgard		unresolved
ASG263	Asgard		unresolved
ASG264	Asgard		unresolved
ASG265	Asgard		unresolved
ASG266	Asgard		unresolved
ASG267	Asgard		unresolved
ASG268	Asgard		unresolved
ASG269	Asgard		unresolved
ASG270	Asgard		unresolved
ASG271	Asgard		unresolved
ASG272	Asgard		unresolved
ASG273	Asgard		unresolved
ASG274	Asgard		unresolved
ASG275	Asgard		unresolved
ASG276	Asgard		unresolved
ASG277	Asgard		unresolved
ASG278	Asgard		unresolved
ASG279	Asgard		unresolved
ASG280	Asgard		unresolved
ASG281	Asgard		unresolved
ASG282	Asgard		unresolved
ASG283	Asgard		unresolved
ASG284	Asgard		unresolved
ASG285	Asgard		unresolved
ASG286	Asgard		unresolved
ASG287	Asgard		unresolved
ASG288	Asgard		unresolved
ASG289	Asgard		unresolved
ASG290	Asgard		unresolved
ASG291	Asgard		unresolved
ASG292	Asgard		unresolved
ASG293	Asgard		unresolved
ASG294	Asgard		unresolved
ASG295	Asgard		unresolved
ASG296	Asgard		unresolved
ASG297	Asgard		unresolved
ASG298	Asgard		unresolved
ASG299	Asgard		unresolved
ASG300	Asgard		unresolved
ASG301	Asgard		unresolved
ASG302	Asgard		unresolved
ASG303	Asgard		unresolved
ASG304	Asgard		unresolved
ASG305	Asgard		unresolved
ASG306	Asgard		unresolved
ASG307	Asgard		unresolved
ASG308	Asgard		unresolved
ASG309	Asgard		unresolved
ASG310	Asgard		unresolved
ASG311	Asgard		unresolved
ASG312	Asgard		unresolved
ASG313	Asgard		unresolved
ASG314	Asgard		unresolved
ASG315	Asgard		unresolved
ASG316	Asgard		unresolved
ASG317	Asgard		unresolved
ASG318	Asgard		unresolved
ASG319	Asgard		unresolved
ASG320	Asgard		unresolved
ASG321	Asgard		unresolved
ASG322	Asgard		unresolved
ASG323	Asgard		unresolved
ASG324	Asgard		unresolved
ASG325	Asgard		unresolved
ASG326	Asgard		unresolved
ASG327	Asgard		unresolved
ASG328	Asgard		unresolved
ASG329	Asgard		unresolved
ASG330	Asgard		unresolved
ASG331	Asgard		unresolved
ASG332	Asgard		unresolved
ASG333	Asgard		unresolved
ASG334	Asgard		unresolved
ASG335	Asgard		unresolved
ASG336	Asgard		unresolved
ASG338	Asgard		unresolved
ASG339	Asgard		unresolved
ASG340	Asgard		unresolved
